health_timestamp_utc,run_id,expected_symbol_count,successful_symbol_count,failed_symbol_count,funding_success_count,oi_success_count,mark_index_success_count,missing_symbols,failed_symbols,duplicate_rows_prevented,total_rows_written,run_duration_seconds,overall_status,notes
2026-05-10T15:43:26Z,e2_20260510T154326Z,19,18,1,18,18,18,FTM_USDT,"{""FTM_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""]}",0,57,2.012,PARTIAL,config.py SYMBOLS matched E2 19-symbol universe after BTC exclusion.
2026-05-10T15:43:41Z,e2_20260510T154341Z,19,18,1,18,18,18,FTM_USDT,"{""FTM_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""]}",57,0,2.131,PARTIAL,config.py SYMBOLS matched E2 19-symbol universe after BTC exclusion.
2026-05-10T16:02:20Z,e2_20260510T160220Z,19,0,19,0,0,0,ADA_USDT;APT_USDT;ARB_USDT;AVAX_USDT;BCH_USDT;BNB_USDT;DOGE_USDT;DOT_USDT;ETH_USDT;FTM_USDT;LINK_USDT;LTC_USDT;NEAR_USDT;OP_USDT;POL_USDT;SOL_USDT;SUI_USDT;TRX_USDT;XRP_USDT,"{""ADA_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""APT_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""ARB_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""AVAX_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""BCH_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""BNB_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""DOGE_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""DOT_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""ETH_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""FTM_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""LINK_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""LTC_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""NEAR_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""OP_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""POL_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""SOL_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""SUI_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""TRX_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""XRP_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""]}",0,38,89.849,FAILED,config.py SYMBOLS matched E2 19-symbol universe after BTC exclusion.
2026-05-10T17:08:16Z,e2_20260510T170816Z,19,0,19,0,0,0,ADA_USDT;APT_USDT;ARB_USDT;AVAX_USDT;BCH_USDT;BNB_USDT;DOGE_USDT;DOT_USDT;ETH_USDT;FTM_USDT;LINK_USDT;LTC_USDT;NEAR_USDT;OP_USDT;POL_USDT;SOL_USDT;SUI_USDT;TRX_USDT;XRP_USDT,"{""ADA_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""APT_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""ARB_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""AVAX_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""BCH_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""BNB_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""DOGE_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""DOT_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""ETH_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""FTM_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""LINK_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""LTC_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""NEAR_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""OP_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""POL_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""SOL_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""SUI_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""TRX_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""XRP_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""]}",0,38,88.312,FAILED,config.py SYMBOLS matched E2 19-symbol universe after BTC exclusion.
2026-05-10T19:19:37Z,e2_20260510T191937Z,19,0,19,0,0,0,ADA_USDT;APT_USDT;ARB_USDT;AVAX_USDT;BCH_USDT;BNB_USDT;DOGE_USDT;DOT_USDT;ETH_USDT;FTM_USDT;LINK_USDT;LTC_USDT;NEAR_USDT;OP_USDT;POL_USDT;SOL_USDT;SUI_USDT;TRX_USDT;XRP_USDT,"{""ADA_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""APT_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""ARB_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""AVAX_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""BCH_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""BNB_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""DOGE_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""DOT_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""ETH_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""FTM_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""LINK_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""LTC_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""NEAR_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""OP_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""POL_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""SOL_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""SUI_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""TRX_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""XRP_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""]}",0,38,90.121,FAILED,config.py SYMBOLS matched E2 19-symbol universe after BTC exclusion.
2026-05-10T21:01:26Z,e2_20260510T210126Z,19,0,19,0,0,0,ADA_USDT;APT_USDT;ARB_USDT;AVAX_USDT;BCH_USDT;BNB_USDT;DOGE_USDT;DOT_USDT;ETH_USDT;FTM_USDT;LINK_USDT;LTC_USDT;NEAR_USDT;OP_USDT;POL_USDT;SOL_USDT;SUI_USDT;TRX_USDT;XRP_USDT,"{""ADA_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""APT_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""ARB_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""AVAX_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""BCH_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""BNB_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""DOGE_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""DOT_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""ETH_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""FTM_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""LINK_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""LTC_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""NEAR_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""OP_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""POL_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""SOL_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""SUI_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""TRX_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""XRP_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""]}",0,38,88.486,FAILED,config.py SYMBOLS matched E2 19-symbol universe after BTC exclusion.
2026-05-10T22:00:21Z,e2_20260510T220021Z,19,0,19,0,0,0,ADA_USDT;APT_USDT;ARB_USDT;AVAX_USDT;BCH_USDT;BNB_USDT;DOGE_USDT;DOT_USDT;ETH_USDT;FTM_USDT;LINK_USDT;LTC_USDT;NEAR_USDT;OP_USDT;POL_USDT;SOL_USDT;SUI_USDT;TRX_USDT;XRP_USDT,"{""ADA_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""APT_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""ARB_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""AVAX_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""BCH_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""BNB_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""DOGE_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""DOT_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""ETH_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""FTM_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""LINK_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""LTC_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""NEAR_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""OP_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""POL_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""SOL_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""SUI_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""TRX_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""XRP_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""]}",0,38,90.997,FAILED,config.py SYMBOLS matched E2 19-symbol universe after BTC exclusion.
2026-05-10T23:02:28Z,e2_20260510T230228Z,19,0,19,0,0,0,ADA_USDT;APT_USDT;ARB_USDT;AVAX_USDT;BCH_USDT;BNB_USDT;DOGE_USDT;DOT_USDT;ETH_USDT;FTM_USDT;LINK_USDT;LTC_USDT;NEAR_USDT;OP_USDT;POL_USDT;SOL_USDT;SUI_USDT;TRX_USDT;XRP_USDT,"{""ADA_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""APT_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""ARB_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""AVAX_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""BCH_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""BNB_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""DOGE_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""DOT_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""ETH_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""FTM_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""LINK_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""LTC_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""NEAR_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""OP_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""POL_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""SOL_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""SUI_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""TRX_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""], ""XRP_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""]}",0,38,89.431,FAILED,config.py SYMBOLS matched E2 19-symbol universe after BTC exclusion.
2026-05-10T23:35:45Z,e2_20260510T233545Z,19,18,1,18,18,18,FTM_USDT,"{""FTM_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""]}",0,57,1.951,PARTIAL,config.py SYMBOLS matched E2 19-symbol universe after BTC exclusion.
2026-05-10T23:36:21Z,e2_20260510T233621Z,19,18,1,18,18,18,FTM_USDT,"{""FTM_USDT"": [""funding"", ""mark_index_premium"", ""open_interest""]}",57,0,2.214,PARTIAL,config.py SYMBOLS matched E2 19-symbol universe after BTC exclusion.
